model,task,emergence_checkpoint,final_score,status,emergence_rank
LLM360-like,simple:copying,3000,1.0,emerged,1.0
LLM360-like,simple:uppercase,10000,1.0,emerged,2.0
LLM360-like,math:arithmetic,20000,0.98,emerged,3.0
LLM360-like,simple:first_letter,20000,0.9904702386715645,emerged,3.0
LLM360-like,compositional:copy_then_uppercase,50000,0.9568551700812049,emerged,4.0
LLM360-like,compositional:first_letter_then_uppercase,100000,0.9634414496733048,emerged,5.0
OLMo-like,simple:copying,5000,0.9902390373087591,emerged,1.0
OLMo-like,simple:uppercase,10000,0.98,emerged,2.0
OLMo-like,math:arithmetic,20000,0.9873320211448389,emerged,3.0
OLMo-like,simple:first_letter,20000,0.9951808276102364,emerged,3.0
OLMo-like,compositional:copy_then_uppercase,50000,1.0,emerged,4.0
OLMo-like,compositional:first_letter_then_uppercase,100000,0.9853731121973036,emerged,5.0
OLMo2-like,simple:copying,5000,0.9831110608727305,emerged,1.0
OLMo2-like,simple:uppercase,5000,1.0,emerged,1.0
OLMo2-like,math:arithmetic,20000,0.9917372541811655,emerged,2.0
OLMo2-like,simple:first_letter,20000,0.9700241178077681,emerged,2.0
OLMo2-like,compositional:copy_then_uppercase,50000,0.9990328366509303,emerged,3.0
OLMo2-like,compositional:first_letter_then_uppercase,100000,0.9528262655802768,emerged,4.0
