source_model,target_model,composite_task,predicted_checkpoint,observed_checkpoint,absolute_error
LLM360-like,LLM360-like,compositional:copy_then_uppercase,50000.0,50000,0.0
LLM360-like,LLM360-like,compositional:first_letter_then_uppercase,100000.0,100000,0.0
LLM360-like,OLMo-like,compositional:copy_then_uppercase,50000.0,50000,0.0
LLM360-like,OLMo-like,compositional:first_letter_then_uppercase,100000.0,100000,0.0
LLM360-like,OLMo2-like,compositional:copy_then_uppercase,25000.0,50000,25000.0
LLM360-like,OLMo2-like,compositional:first_letter_then_uppercase,50000.0,100000,50000.0
OLMo-like,LLM360-like,compositional:copy_then_uppercase,50000.0,50000,0.0
OLMo-like,LLM360-like,compositional:first_letter_then_uppercase,100000.0,100000,0.0
OLMo-like,OLMo-like,compositional:copy_then_uppercase,50000.0,50000,0.0
OLMo-like,OLMo-like,compositional:first_letter_then_uppercase,100000.0,100000,0.0
OLMo-like,OLMo2-like,compositional:copy_then_uppercase,25000.0,50000,25000.0
OLMo-like,OLMo2-like,compositional:first_letter_then_uppercase,50000.0,100000,50000.0
OLMo2-like,LLM360-like,compositional:copy_then_uppercase,100000.0,50000,50000.0
OLMo2-like,LLM360-like,compositional:first_letter_then_uppercase,200000.0,100000,100000.0
OLMo2-like,OLMo-like,compositional:copy_then_uppercase,100000.0,50000,50000.0
OLMo2-like,OLMo-like,compositional:first_letter_then_uppercase,200000.0,100000,100000.0
OLMo2-like,OLMo2-like,compositional:copy_then_uppercase,50000.0,50000,0.0
OLMo2-like,OLMo2-like,compositional:first_letter_then_uppercase,100000.0,100000,0.0
